18748	
59846	577240
51191	729091
73454	636116
82141	647927
94321	946942
87799	250510
83044	291293
1188	609125
20359	942498
31738	266241
43113	531672
97786	297910
86641	516970
80990	892190
47211	778744
48771	788599
13795	557674
7713	17871
26412	727146
55414	647687
67795	694239
38744	845623
24832	64301
24666	200533
33763	41926
93585	983316
95588	312944
86551	398205
61449	132959
60647	421318
72374	463754
90965	982635
47516	728635
96513	168943
38984	338658
60466	494234
96059	617574
50367	268236
43100	61834
8576	697868
97608	236499
94376	103450
80901	445255
67352	533792
9295	333742
17274	296022
20036	65499
30306	895189
68450	315348
51231	428540
55711	47634
28355	631662
11455	868768
28788	13053
39529	64512
51897	644287
76025	805428
96450	161931
23794	83740
29707	304700
94952	139712
7557	515865
52244	397428
6449	738748
84595	181540
82618	365733
85489	493652
27237	233504
36949	902314
75687	330069
84996	363894
86974	712495
64293	510361
51446	756850
55410	281378
8568	944125
64933	408056
79605	778300
35689	712924
1753	789449
57741	717713
4884	90546
1073	210221
8911	601544
30762	878810
7362	871205
8458	626558
13068	173778
9397	913569
21295	800454
66318	661765
34533	453804
19866	154775
45889	697277
93494	699438
75465	534417
83552	32226
90909	893379
39282	727139
20930	392285
50077	719089
24653	370410
6884	212017
48344	721961
7149	743757
60161	949992
67970	889492
88371	136535
50258	332225
59900	407346
43153	24523
99473	648132
44422	206290
38413	738095
726	948196
53070	927703
11142	565306
75725	239623
72977	632264
94864	498757
21834	812806
21176	132523
91260	210944
80056	209417
67023	843187
55518	644525
47365	42539
16810	798603
65882	634791
99516	191875
56583	880804
5078	219635
69779	928208
49951	250216
60170	700223
90873	181547
51097	344166
52518	932842
43428	459546
64887	418060
51093	649976
8713	975576
91261	529123
70730	975896
23881	134547
6632	377016
111	753000
16391	262768
53803	344918
90780	491563
89599	189239
82564	198609
62505	977100
73018	478915
23271	269949
36546	310245
70299	597437
1919	38170
7609	387837
39812	692696
4509	551750
15400	954072
83612	27532
85839	95264
84325	808101
95285	678778
27447	875583
42795	508341
1930	256884
68208	408356
36362	442525
12836	256162
22730	179644
58040	199159
52859	672067
91115	28997
87933	579450
43975	674933
36184	899080
41219	331961
97465	948132
72029	474337
78740	765710
66502	633947
44059	788841
38335	978682
63313	237876
4417	824415
99542	385482
95504	398349
65839	832199
82312	501072
48199	170684
7706	749337
34737	215898
92113	42718
73360	116322
33301	529518
73431	591839
41240	22342
27707	278679
83835	723919
32574	733759
67934	185068
97005	250013
35167	287647
77266	592846
74824	477117
52472	677917
85439	509334
76736	466786
17055	658761
54752	188254
99304	128605
1240	48283
45199	200200
22073	206740
27783	335520
387	900640
41174	117373
11633	172122
9911	236119
42980	83475
62645	366401
65158	205851
5992	286248
6507	452216
26128	635737
69611	449622
5005	840781
87794	936184
95254	145271
72462	261166
94024	281705
94051	844393
72494	977859
26885	188583
45422	179732
17056	744297
71447	650779
59422	314939
2926	391024
83328	954780
29513	778300
72395	710110
71183	933140
71486	902853
38976	535317
60727	947882
85851	498472
844	659082
65277	307977
22976	496639
24769	610950
81934	825513
90027	464823
44950	494502
6707	127995
32818	746307
39335	216570
34723	838633
33091	614954
49935	125692
41683	484504
74176	651550
23961	296611
41518	193874
9815	357515
51014	563041
41008	637319
94692	813142
8733	849556
62689	531921
24146	321395
23805	440307
10051	577026
2016	307784
97388	116724
96220	595711
5371	753828
39843	880937
10888	209402
79643	712827
12158	145899
62222	220134
6	738710
78760	565554
6343	298569
20634	656618
33166	823768
98892	102863
93861	770440
96176	356352
91177	181379
96970	945702
30427	263378
98570	844805
57460	509239
56264	386691
55209	167362
6026	843973
35817	143751
2344	392268
17428	419912
59694	69344
54268	340267
34971	331312
58198	392731
32490	576987
13248	841875
84634	677215
33437	625831
6306	76578
9916	301292
38505	491638
34848	253100
39460	473882
16352	296087
47685	195203
38675	927709
5233	654309
45569	322957
42748	690789
13353	842474
89567	173623
77503	952169
28019	527977
2391	123255
63336	114278
