46;70;84
45;91;95
22;53;84
11;11;41
19;87;97
43;81;81
26;82;90
21;22;58
11;11;11
22;47;88
20;63;64
30;63;93
42;65;76
20;37;55
22;24;62
41;42;97
16;32;79
45;49;69
27;53;97
28;63;69
26;32;66
23;57;57
35;39;87
46;66;69
62;88;97
34;38;96
11;60;67
13;61;83
43;52;75
32;64;86
39;62;91
23;60;83
55;60;66
72;72;98
29;39;78
11;21;31
35;83;92
86;92;94
65;66;89
20;99;101
27;42;58
54;71;80
56;61;86
61;69;96
32;40;90
63;74;89
16;19;83
37;38;80
89;94;97
12;38;50
34;50;56
21;41;92
20;25;26
38;43;93
58;76;95
19;27;65
29;37;92
17;54;79
26;38;69
27;49;56
19;26;90
11;64;65
31;57;65
15;66;74
26;46;54
13;26;89
43;44;70
26;28;94
12;16;98
11;25;97
46;73;91
17;60;74
13;93;97
11;36;74
23;51;92
31;47;77
12;77;79
20;31;99
38;38;61
52;52;68
21;29;37
33;76;97
14;34;62
42;55;96
35;55;75
33;41;97
57;65;72
43;59;98
55;71;92
24;57;74
12;12;51
29;29;29
15;25;77
70;95;98
36;49;60
37;76;90
10;26;38
20;31;65
76;78;95
38;39;44
30;33;83
10;20;81
30;32;97
20;35;75
29;48;60
39;93;97
46;76;94
13;15;59
31;45;85
63;73;93
16;25;53
44;56;75
13;39;69
22;25;70
32;33;43
19;52;74
38;43;72
41;68;75
10;11;75
24;33;98
10;80;88
70;76;76
25;51;84
29;53;68
10;24;36
23;36;90
24;38;41
21;29;70
15;18;94
18;25;30
33;34;62
71;77;83
49;58;93
18;35;71
16;52;89
55;62;97
60;61;81
59;62;85
34;53;98
11;61;66
17;63;65
61;62;79
14;41;69
12;56;80
36;38;52
19;53;54
17;20;57
45;65;72
49;81;90
25;80;97
61;65;98
17;55;89
53;63;77
23;39;56
19;62;66
24;44;50
69;80;87
12;17;99
22;32;33
33;54;87
68;70;93
19;82;98
71;85;92
10;24;26
30;61;74
28;50;69
15;60;91
22;32;39
53;57;63
51;70;71
31;37;70
29;52;85
42;56;71
42;74;79
48;71;75
48;56;94
28;40;61
40;90;93
12;65;94
31;47;78
49;65;65
39;42;68
52;61;82
31;53;79
52;75;89
19;29;88
65;77;79
63;77;84
17;53;78
38;71;87
20;31;50
24;41;69
11;24;89
36;53;97
20;27;56
53;53;65
69;89;89
27;47;89
12;66;78
17;32;51
28;71;87
56;65;91
21;43;59
31;77;98
51;71;97
34;55;83
69;83;83
34;50;74
46;69;78
25;65;97
26;60;74
36;66;89
21;34;37
45;58;64
46;46;99
62;89;96
11;19;91
10;85;95
10;27;67
25;67;79
35;69;94
10;22;74
11;24;46
17;26;89
16;46;70
59;69;74
11;20;33
40;69;77
23;31;82
35;92;96
15;36;80
20;58;81
15;34;59
42;52;90
40;52;75
76;80;96
33;79;98
30;46;75
19;37;98
63;75;80
22;28;91
27;34;45
40;89;95
42;83;86
10;60;61
45;76;82
50;85;89
58;70;92
23;29;60
18;55;78
13;54;67
51;61;67
67;94;95
10;24;56
15;50;76
29;48;76
12;28;95
62;67;77
34;53;54
59;70;73
19;27;37
64;68;85
14;66;87
15;38;62
28;31;68
65;66;92
14;49;58
41;51;75
28;32;44
20;24;27
12;20;52
49;90;90
26;96;99
24;61;91
29;91;91
25;35;83
37;69;82
14;24;79
19;23;46
12;24;37
53;67;76
30;36;99
29;82;98
13;49;94
11;30;77
66;88;110
48;77;81
14;58;63
17;52;71
17;43;62
61;80;95
10;51;69
11;17;21
16;21;42
51;54;60
33;36;50
88;89;97
48;62;87
54;56;95
48;83;89
36;44;93
52;56;82
25;48;64
65;87;89
29;39;39
28;72;92
18;30;63
11;25;50
22;26;42
19;91;94
15;66;68
46;48;97
36;68;70
36;49;64
11;20;92
25;95;95
56;80;89
43;44;58
16;16;81
27;55;86
28;29;54
14;50;85
18;37;80
13;19;82
32;53;68
19;49;51
40;82;92
43;56;57
13;25;75
11;71;73
13;40;63
42;47;62
16;65;96
27;70;81
18;26;31
32;59;65
36;56;80
42;79;88
53;59;92
19;74;88
13;33;93
16;33;50
32;45;69
53;62;79
14;50;78
15;68;90
63;73;86
27;69;94
27;52;71
21;42;82
31;49;56
35;72;72
15;48;82
48;53;68
23;69;90
59;81;88
11;50;76
